zip,market,tier,state,lat,lng
39828,"Out of Coverage",ooc,GA,30.8768,-84.2091
51357,"Non-compliant",nc,IA,43.0488,-95.2679
38575,"Out of Coverage",ooc,TN,36.5966,-85.6772
23418,"Non-compliant",nc,VA,37.6704,-75.6992
61451,"Out of Coverage",ooc,IL,40.9335,-89.9349
45470,"Out of Coverage",ooc,OH,39.7505,-84.2686
05905,"Non-compliant",nc,VT,44.6902,-71.5991
98673,"Non-compliant",nc,WA,45.6573,-120.9667
35452,"Non-compliant",nc,AL,33.2934,-87.6888
56289,"Non-compliant",nc,MN,45.3583,-95.2049
06785,"Out of Coverage",ooc,CT,41.6951,-73.4690
36080,"Non-compliant",nc,AL,32.6900,-86.2393
05301,"Non-compliant",nc,VT,42.8574,-72.5933
55607,"Non-compliant",nc,MN,47.6604,-91.4989
24032,"Non-compliant",nc,VA,37.2742,-79.9579
48933,"Non-compliant",nc,MI,42.7334,-84.5571
32302,"Out of Coverage",ooc,FL,30.4383,-84.2807
26601,"Non-compliant",nc,WV,38.6541,-80.6760
29645,"Out of Coverage",ooc,SC,34.5953,-82.1147
72176,"Non-compliant",nc,AR,34.9532,-91.9004
29122,"Out of Coverage",ooc,SC,34.2386,-81.3271
13406,"Non-compliant",nc,NY,43.1369,-74.9240
39209,"Non-compliant",nc,MS,32.3184,-90.2446
99155,"Non-compliant",nc,WA,48.1434,-119.0094
70754,"Non-compliant",nc,LA,30.4741,-90.7673
11023,"Non-compliant",nc,NY,40.7993,-73.7343
50057,"Non-compliant",nc,IA,41.1838,-93.1582
44841,"Out of Coverage",ooc,OH,41.2512,-83.3060
41643,"Out of Coverage",ooc,KY,37.4710,-82.8294
72019,"Non-compliant",nc,AR,34.6040,-92.6259
62691,"Out of Coverage",ooc,IL,39.9512,-90.2123
29644,"Out of Coverage",ooc,SC,34.6578,-82.2441
14519,"Non-compliant",nc,NY,43.2291,-77.3088
38355,"Out of Coverage",ooc,TN,35.8081,-88.7627
72401,"Non-compliant",nc,AR,35.8330,-90.6965
72716,"Non-compliant",nc,AR,36.3729,-94.2088
89822,"Out of Coverage",ooc,NV,40.7172,-116.1082
66518,"Non-compliant",nc,KS,39.9598,-96.6235
19029,"Non-compliant",nc,PA,39.8621,-75.2971
22974,"Non-compliant",nc,VA,37.9636,-78.2535
77316,"Out of Coverage",ooc,TX,30.3587,-95.6857
47573,"Non-compliant",nc,IN,38.7441,-87.3214
04950,"Non-compliant",nc,ME,44.8096,-69.8449
97836,"Non-compliant",nc,OR,45.3486,-119.5369
24574,"Non-compliant",nc,VA,37.5414,-79.1703
11422,"Non-compliant",nc,NY,40.6621,-73.7353
56470,"Non-compliant",nc,MN,46.9377,-95.0383
32547,"Out of Coverage",ooc,FL,30.4487,-86.6255
51603,"Non-compliant",nc,IA,40.7656,-95.3722
03243,"Non-compliant",nc,NH,43.5274,-71.7292
40360,"Out of Coverage",ooc,KY,38.1532,-83.7564
24148,"Non-compliant",nc,VA,36.5874,-79.8686
74878,"Non-compliant",nc,OK,34.9983,-97.0419
68641,"Non-compliant",nc,NE,41.7250,-97.0028
24945,"Non-compliant",nc,WV,37.5435,-80.6826
52745,"Non-compliant",nc,IA,41.7113,-90.7553
50858,"Non-compliant",nc,IA,41.2192,-94.3705
78108,"Out of Coverage",ooc,TX,29.5750,-98.2280
04667,"Non-compliant",nc,ME,44.9888,-67.0929
40576,"Out of Coverage",ooc,KY,38.0283,-84.4715
62545,"Out of Coverage",ooc,IL,39.7778,-89.4064
98404,"Non-compliant",nc,WA,47.2113,-122.4126
63943,"Non-compliant",nc,MO,36.8280,-90.7942
32237,"Out of Coverage",ooc,FL,30.3449,-81.6831
23702,"Non-compliant",nc,VA,36.8035,-76.3270
15860,"Non-compliant",nc,PA,41.3099,-79.0540
39736,"Non-compliant",nc,MS,33.4115,-88.6443
53001,"Non-compliant",nc,WI,43.6151,-88.0254
25404,"Non-compliant",nc,WV,39.4852,-77.8954
71728,"Non-compliant",nc,AR,34.0103,-93.0976
